"Survey Type",Organization,Date,"Survey Year",Country,State,County,"Survey ID","MDMAP ID #","Transect ID #","Shoreline Name","Latitude Start","Longitude Start","Latitude End","Longitude End",Slope,Width,Length,"Start Time","End Time","Time of Low Tide","Database Season",Season,"Date of Previous Survey","Storm Activity","Current Weather","Number of Persons","Large Items?","Debris Behind Back Barrier?","Datasheet Version","# of Large Items",Notes,Photos,"Item Type",Subtype,Status,"Width (m)","Length (m)",Description,Photo?
Accumulation,"Boy Scouts of America",03-26-2016,"Year 2","United States",AK,"Kodiak Island Borough",4370,189,,"Buskin Beach",57.7539,-152.4834,57.7557,-152.4829,2,238,200,"09:30 AM","11:00 AM","10:30 AM",Spring,spring,01-30-2016,"several storms since last survey","scattered clouds, light wind, temperature ~40 F",11,yes,yes,1.0,1,"Debris concentrated in a 20m strip along top of survey area. Abundant light debris observed in matted grass above survey area. A total of 106kg of debris was removed from this survey area. Most debris mass (84%) comprised large (>0.3m) debris, mainly waterlogged processed lumber (80%) Low tide of 1.2 feet. Survey area computed at 4.6ha.",Yes,Plastic,"Hard Plastic",stranded,.40,.41,,Yes
Accumulation,"Boy Scouts of America",03-26-2016,"Year 2","United States",AK,"Kodiak Island Borough",4370,189,,"Buskin Beach",57.7539,-152.4834,57.7557,-152.4829,2,238,200,"09:30 AM","11:00 AM","10:30 AM",Spring,spring,01-30-2016,"several storms since last survey","scattered clouds, light wind, temperature ~40 F",11,yes,yes,1.0,1,"Debris concentrated in a 20m strip along top of survey area. Abundant light debris observed in matted grass above survey area. A total of 106kg of debris was removed from this survey area. Most debris mass (84%) comprised large (>0.3m) debris, mainly waterlogged processed lumber (80%) Low tide of 1.2 feet. Survey area computed at 4.6ha.",Yes,Plastic,"Hard Plastic",stranded,.05,.80,,Yes
Accumulation,"Boy Scouts of America",03-26-2016,"Year 2","United States",AK,"Kodiak Island Borough",4370,189,,"Buskin Beach",57.7539,-152.4834,57.7557,-152.4829,2,238,200,"09:30 AM","11:00 AM","10:30 AM",Spring,spring,01-30-2016,"several storms since last survey","scattered clouds, light wind, temperature ~40 F",11,yes,yes,1.0,1,"Debris concentrated in a 20m strip along top of survey area. Abundant light debris observed in matted grass above survey area. A total of 106kg of debris was removed from this survey area. Most debris mass (84%) comprised large (>0.3m) debris, mainly waterlogged processed lumber (80%) Low tide of 1.2 feet. Survey area computed at 4.6ha.",Yes,Plastic,"Hard Plastic",stranded,.23,.32,,Yes
Accumulation,"Boy Scouts of America",03-26-2016,"Year 2","United States",AK,"Kodiak Island Borough",4370,189,,"Buskin Beach",57.7539,-152.4834,57.7557,-152.4829,2,238,200,"09:30 AM","11:00 AM","10:30 AM",Spring,spring,01-30-2016,"several storms since last survey","scattered clouds, light wind, temperature ~40 F",11,yes,yes,1.0,1,"Debris concentrated in a 20m strip along top of survey area. Abundant light debris observed in matted grass above survey area. A total of 106kg of debris was removed from this survey area. Most debris mass (84%) comprised large (>0.3m) debris, mainly waterlogged processed lumber (80%) Low tide of 1.2 feet. Survey area computed at 4.6ha.",Yes,Plastic,"Plastic rope/net",stranded,.02,5.72,"blasting line",Yes
Accumulation,"Boy Scouts of America",03-26-2016,"Year 2","United States",AK,"Kodiak Island Borough",4370,189,,"Buskin Beach",57.7539,-152.4834,57.7557,-152.4829,2,238,200,"09:30 AM","11:00 AM","10:30 AM",Spring,spring,01-30-2016,"several storms since last survey","scattered clouds, light wind, temperature ~40 F",11,yes,yes,1.0,1,"Debris concentrated in a 20m strip along top of survey area. Abundant light debris observed in matted grass above survey area. A total of 106kg of debris was removed from this survey area. Most debris mass (84%) comprised large (>0.3m) debris, mainly waterlogged processed lumber (80%) Low tide of 1.2 feet. Survey area computed at 4.6ha.",Yes,"Processed Lumber","Lumber/building material",stranded,.30,2.53,"too heavy to move; left on beach",Yes
Accumulation,"Boy Scouts of America",03-26-2016,"Year 2","United States",AK,"Kodiak Island Borough",4370,189,,"Buskin Beach",57.7539,-152.4834,57.7557,-152.4829,2,238,200,"09:30 AM","11:00 AM","10:30 AM",Spring,spring,01-30-2016,"several storms since last survey","scattered clouds, light wind, temperature ~40 F",11,yes,yes,1.0,1,"Debris concentrated in a 20m strip along top of survey area. Abundant light debris observed in matted grass above survey area. A total of 106kg of debris was removed from this survey area. Most debris mass (84%) comprised large (>0.3m) debris, mainly waterlogged processed lumber (80%) Low tide of 1.2 feet. Survey area computed at 4.6ha.",Yes,"Processed Lumber","Lumber/building material",stranded,.10,1.30,,Yes
Accumulation,"Boy Scouts of America",03-26-2016,"Year 2","United States",AK,"Kodiak Island Borough",4370,189,,"Buskin Beach",57.7539,-152.4834,57.7557,-152.4829,2,238,200,"09:30 AM","11:00 AM","10:30 AM",Spring,spring,01-30-2016,"several storms since last survey","scattered clouds, light wind, temperature ~40 F",11,yes,yes,1.0,1,"Debris concentrated in a 20m strip along top of survey area. Abundant light debris observed in matted grass above survey area. A total of 106kg of debris was removed from this survey area. Most debris mass (84%) comprised large (>0.3m) debris, mainly waterlogged processed lumber (80%) Low tide of 1.2 feet. Survey area computed at 4.6ha.",Yes,"Processed Lumber","Lumber/building material",stranded,.10,.37,,Yes
Accumulation,"Boy Scouts of America",03-26-2016,"Year 2","United States",AK,"Kodiak Island Borough",4370,189,,"Buskin Beach",57.7539,-152.4834,57.7557,-152.4829,2,238,200,"09:30 AM","11:00 AM","10:30 AM",Spring,spring,01-30-2016,"several storms since last survey","scattered clouds, light wind, temperature ~40 F",11,yes,yes,1.0,1,"Debris concentrated in a 20m strip along top of survey area. Abundant light debris observed in matted grass above survey area. A total of 106kg of debris was removed from this survey area. Most debris mass (84%) comprised large (>0.3m) debris, mainly waterlogged processed lumber (80%) Low tide of 1.2 feet. Survey area computed at 4.6ha.",Yes,"Processed Lumber","Lumber/building material",stranded,.09,.71,,Yes
Accumulation,"Boy Scouts of America",03-26-2016,"Year 2","United States",AK,"Kodiak Island Borough",4370,189,,"Buskin Beach",57.7539,-152.4834,57.7557,-152.4829,2,238,200,"09:30 AM","11:00 AM","10:30 AM",Spring,spring,01-30-2016,"several storms since last survey","scattered clouds, light wind, temperature ~40 F",11,yes,yes,1.0,1,"Debris concentrated in a 20m strip along top of survey area. Abundant light debris observed in matted grass above survey area. A total of 106kg of debris was removed from this survey area. Most debris mass (84%) comprised large (>0.3m) debris, mainly waterlogged processed lumber (80%) Low tide of 1.2 feet. Survey area computed at 4.6ha.",Yes,Plastic,"Plastic rope/net",stranded,.02,.79,,Yes
Accumulation,"Boy Scouts of America",03-26-2016,"Year 2","United States",AK,"Kodiak Island Borough",4370,189,,"Buskin Beach",57.7539,-152.4834,57.7557,-152.4829,2,238,200,"09:30 AM","11:00 AM","10:30 AM",Spring,spring,01-30-2016,"several storms since last survey","scattered clouds, light wind, temperature ~40 F",11,yes,yes,1.0,1,"Debris concentrated in a 20m strip along top of survey area. Abundant light debris observed in matted grass above survey area. A total of 106kg of debris was removed from this survey area. Most debris mass (84%) comprised large (>0.3m) debris, mainly waterlogged processed lumber (80%) Low tide of 1.2 feet. Survey area computed at 4.6ha.",Yes,Plastic,"Plastic rope/net",stranded,.02,.80,,Yes
Accumulation,"Boy Scouts of America",03-26-2016,"Year 2","United States",AK,"Kodiak Island Borough",4370,189,,"Buskin Beach",57.7539,-152.4834,57.7557,-152.4829,2,238,200,"09:30 AM","11:00 AM","10:30 AM",Spring,spring,01-30-2016,"several storms since last survey","scattered clouds, light wind, temperature ~40 F",11,yes,yes,1.0,1,"Debris concentrated in a 20m strip along top of survey area. Abundant light debris observed in matted grass above survey area. A total of 106kg of debris was removed from this survey area. Most debris mass (84%) comprised large (>0.3m) debris, mainly waterlogged processed lumber (80%) Low tide of 1.2 feet. Survey area computed at 4.6ha.",Yes,Plastic,"Plastic rope/net",stranded,.02,3.65,,Yes
Accumulation,"Boy Scouts of America",03-26-2016,"Year 2","United States",AK,"Kodiak Island Borough",4370,189,,"Buskin Beach",57.7539,-152.4834,57.7557,-152.4829,2,238,200,"09:30 AM","11:00 AM","10:30 AM",Spring,spring,01-30-2016,"several storms since last survey","scattered clouds, light wind, temperature ~40 F",11,yes,yes,1.0,1,"Debris concentrated in a 20m strip along top of survey area. Abundant light debris observed in matted grass above survey area. A total of 106kg of debris was removed from this survey area. Most debris mass (84%) comprised large (>0.3m) debris, mainly waterlogged processed lumber (80%) Low tide of 1.2 feet. Survey area computed at 4.6ha.",Yes,"Processed Lumber","Lumber/building material",stranded,.02,.75,,Yes
Accumulation,"Boy Scouts of America",03-26-2016,"Year 2","United States",AK,"Kodiak Island Borough",4370,189,,"Buskin Beach",57.7539,-152.4834,57.7557,-152.4829,2,238,200,"09:30 AM","11:00 AM","10:30 AM",Spring,spring,01-30-2016,"several storms since last survey","scattered clouds, light wind, temperature ~40 F",11,yes,yes,1.0,1,"Debris concentrated in a 20m strip along top of survey area. Abundant light debris observed in matted grass above survey area. A total of 106kg of debris was removed from this survey area. Most debris mass (84%) comprised large (>0.3m) debris, mainly waterlogged processed lumber (80%) Low tide of 1.2 feet. Survey area computed at 4.6ha.",Yes,"Processed Lumber","Lumber/building material",stranded,.23,4.9,"too large to remove",Yes
Accumulation,"Boy Scouts of America",03-26-2016,"Year 2","United States",AK,"Kodiak Island Borough",4370,189,,"Buskin Beach",57.7539,-152.4834,57.7557,-152.4829,2,238,200,"09:30 AM","11:00 AM","10:30 AM",Spring,spring,01-30-2016,"several storms since last survey","scattered clouds, light wind, temperature ~40 F",11,yes,yes,1.0,1,"Debris concentrated in a 20m strip along top of survey area. Abundant light debris observed in matted grass above survey area. A total of 106kg of debris was removed from this survey area. Most debris mass (84%) comprised large (>0.3m) debris, mainly waterlogged processed lumber (80%) Low tide of 1.2 feet. Survey area computed at 4.6ha.",Yes,Plastic,"Hard Plastic",stranded,.10,.55,,Yes
Accumulation,"Boy Scouts of America",03-26-2016,"Year 2","United States",AK,"Kodiak Island Borough",4370,189,,"Buskin Beach",57.7539,-152.4834,57.7557,-152.4829,2,238,200,"09:30 AM","11:00 AM","10:30 AM",Spring,spring,01-30-2016,"several storms since last survey","scattered clouds, light wind, temperature ~40 F",11,yes,yes,1.0,1,"Debris concentrated in a 20m strip along top of survey area. Abundant light debris observed in matted grass above survey area. A total of 106kg of debris was removed from this survey area. Most debris mass (84%) comprised large (>0.3m) debris, mainly waterlogged processed lumber (80%) Low tide of 1.2 feet. Survey area computed at 4.6ha.",Yes,"Processed Lumber","Lumber/building material",stranded,.06,.31,,Yes
Accumulation,"Boy Scouts of America",03-26-2016,"Year 2","United States",AK,"Kodiak Island Borough",4370,189,,"Buskin Beach",57.7539,-152.4834,57.7557,-152.4829,2,238,200,"09:30 AM","11:00 AM","10:30 AM",Spring,spring,01-30-2016,"several storms since last survey","scattered clouds, light wind, temperature ~40 F",11,yes,yes,1.0,1,"Debris concentrated in a 20m strip along top of survey area. Abundant light debris observed in matted grass above survey area. A total of 106kg of debris was removed from this survey area. Most debris mass (84%) comprised large (>0.3m) debris, mainly waterlogged processed lumber (80%) Low tide of 1.2 feet. Survey area computed at 4.6ha.",Yes,"Processed Lumber","Lumber/building material",stranded,.09,1.05,,Yes
Accumulation,"Boy Scouts of America",03-26-2016,"Year 2","United States",AK,"Kodiak Island Borough",4370,189,,"Buskin Beach",57.7539,-152.4834,57.7557,-152.4829,2,238,200,"09:30 AM","11:00 AM","10:30 AM",Spring,spring,01-30-2016,"several storms since last survey","scattered clouds, light wind, temperature ~40 F",11,yes,yes,1.0,1,"Debris concentrated in a 20m strip along top of survey area. Abundant light debris observed in matted grass above survey area. A total of 106kg of debris was removed from this survey area. Most debris mass (84%) comprised large (>0.3m) debris, mainly waterlogged processed lumber (80%) Low tide of 1.2 feet. Survey area computed at 4.6ha.",Yes,"Processed Lumber","Lumber/building material",stranded,.30,.70,,Yes
Accumulation,"Boy Scouts of America",03-26-2016,"Year 2","United States",AK,"Kodiak Island Borough",4370,189,,"Buskin Beach",57.7539,-152.4834,57.7557,-152.4829,2,238,200,"09:30 AM","11:00 AM","10:30 AM",Spring,spring,01-30-2016,"several storms since last survey","scattered clouds, light wind, temperature ~40 F",11,yes,yes,1.0,1,"Debris concentrated in a 20m strip along top of survey area. Abundant light debris observed in matted grass above survey area. A total of 106kg of debris was removed from this survey area. Most debris mass (84%) comprised large (>0.3m) debris, mainly waterlogged processed lumber (80%) Low tide of 1.2 feet. Survey area computed at 4.6ha.",Yes,"Processed Lumber","Lumber/building material",stranded,.08,.42,,Yes
Accumulation,"Boy Scouts of America",03-26-2016,"Year 2","United States",AK,"Kodiak Island Borough",4370,189,,"Buskin Beach",57.7539,-152.4834,57.7557,-152.4829,2,238,200,"09:30 AM","11:00 AM","10:30 AM",Spring,spring,01-30-2016,"several storms since last survey","scattered clouds, light wind, temperature ~40 F",11,yes,yes,1.0,1,"Debris concentrated in a 20m strip along top of survey area. Abundant light debris observed in matted grass above survey area. A total of 106kg of debris was removed from this survey area. Most debris mass (84%) comprised large (>0.3m) debris, mainly waterlogged processed lumber (80%) Low tide of 1.2 feet. Survey area computed at 4.6ha.",Yes,"Processed Lumber","Lumber/building material",stranded,.35,4.9,,Yes
Accumulation,"Boy Scouts of America",03-26-2016,"Year 2","United States",AK,"Kodiak Island Borough",4370,189,,"Buskin Beach",57.7539,-152.4834,57.7557,-152.4829,2,238,200,"09:30 AM","11:00 AM","10:30 AM",Spring,spring,01-30-2016,"several storms since last survey","scattered clouds, light wind, temperature ~40 F",11,yes,yes,1.0,1,"Debris concentrated in a 20m strip along top of survey area. Abundant light debris observed in matted grass above survey area. A total of 106kg of debris was removed from this survey area. Most debris mass (84%) comprised large (>0.3m) debris, mainly waterlogged processed lumber (80%) Low tide of 1.2 feet. Survey area computed at 4.6ha.",Yes,"Processed Lumber","Lumber/building material",stranded,.10,1.1,2x4,Yes
Accumulation,OCNMS,03-19-2016,"Year 4","United States",WA,Clallam,4374,105,,"Elwha West",48.14431,-123.56937,48.14352,-123.57009,,60,100,"02:30 PM","03:00 PM","07:30 AM",Spring,winter,02-27-2016,none,"80% cloud cover, light offshore winds",2,yes,no,1.0,1,"volunteer estimates:
50% left by land users
50% left from ocean",No,"Processed Lumber","Cardboard cartons",removed,0.1,0.38,lumber,Yes
Accumulation,OCNMS,03-11-2016,"Year 2","United States",WA,Clallam,4375,178,,"Dry Creek West",48.13491,-123.5227,48.13549,-123.5237,,27,100,"09:50 AM","11:15 AM","10:00 AM",Spring,winter,02-11-2016,none,"100% cloud cover with light winds",1,yes,no,1.0,1,"volunteer estimates:
70% left by land users
20% from ocean
10% unknown origin",Yes,Rubber,"Rubber fragments",removed,.15,.6,"rubber tube section",No
Accumulation,OCNMS,03-11-2016,"Year 2","United States",WA,Clallam,4375,178,,"Dry Creek West",48.13491,-123.5227,48.13549,-123.5237,,27,100,"09:50 AM","11:15 AM","10:00 AM",Spring,winter,02-11-2016,none,"100% cloud cover with light winds",1,yes,no,1.0,1,"volunteer estimates:
70% left by land users
20% from ocean
10% unknown origin",Yes,"Processed Lumber","Lumber/building material","not removed",.35,3.3,"lumber, too big to lift",No
Accumulation,OCNMS,03-16-2016,"Year 4","United States",WA,"Grays Harbor",4376,107,,"Roosevelt Beach",47.1770,-124.1972,47.1779,-124.1976,,50,100,"10:30 AM","11:45 AM","01:00 PM",Spring,winter,02-09-2016,"3/13 up to 65mph winds for hours!","10% cloud cover light offshore winds",2,yes,no,1.0,1,"volunteer estimates:
95% left by land users
5% from ocean (local)",Yes,Plastic,"Plastic rope/net",removed,.01,1.1,"Blue/green rope",Yes
Accumulation,OCNMS,03-16-2016,"Year 4","United States",WA,"Grays Harbor",4376,107,,"Roosevelt Beach",47.1770,-124.1972,47.1779,-124.1976,,50,100,"10:30 AM","11:45 AM","01:00 PM",Spring,winter,02-09-2016,"3/13 up to 65mph winds for hours!","10% cloud cover light offshore winds",2,yes,no,1.0,1,"volunteer estimates:
95% left by land users
5% from ocean (local)",Yes,Rubber,Other,removed,.15,.6,"Rubber waders",No
Accumulation,OCNMS,03-16-2016,"Year 4","United States",WA,"Grays Harbor",4376,107,,"Roosevelt Beach",47.1770,-124.1972,47.1779,-124.1976,,50,100,"10:30 AM","11:45 AM","01:00 PM",Spring,winter,02-09-2016,"3/13 up to 65mph winds for hours!","10% cloud cover light offshore winds",2,yes,no,1.0,4,"volunteer estimates:
95% left by land users
5% from ocean (local)",Yes,Plastic,Other,removed,0.05,0.4,Ribbon,Yes
Accumulation,OCNMS,03-16-2016,"Year 4","United States",WA,"Grays Harbor",4376,107,,"Roosevelt Beach",47.1770,-124.1972,47.1779,-124.1976,,50,100,"10:30 AM","11:45 AM","01:00 PM",Spring,winter,02-09-2016,"3/13 up to 65mph winds for hours!","10% cloud cover light offshore winds",2,yes,no,1.0,2,"volunteer estimates:
95% left by land users
5% from ocean (local)",Yes,Plastic,"Hard Plastic",removed,.01,.7,"packing straps",No
Accumulation,OCNMS,03-16-2016,"Year 4","United States",WA,"Grays Harbor",4376,107,,"Roosevelt Beach",47.1770,-124.1972,47.1779,-124.1976,,50,100,"10:30 AM","11:45 AM","01:00 PM",Spring,winter,02-09-2016,"3/13 up to 65mph winds for hours!","10% cloud cover light offshore winds",2,yes,no,1.0,1,"volunteer estimates:
95% left by land users
5% from ocean (local)",Yes,Plastic,"Hard Plastic",removed,1.09,1.57,"Blue strainer tray (probably from fishing boat)",No
Standing-Stock,"Gulf of the Farallones National Marine Sanctuary",03-18-2016,"Year 4","United States",CA,Marin,4377,15,1,"Drakes Beach, Point Reyes National Seashore",38.03165,-122.94725,38.03083,-122.94821,,75,100,"03:30 PM","04:30 PM","03:00 PM",Spring,winter,02-14-2016,"3 days storm 3/10 - 3/12","sunny - light breeze",2,yes,no,1.0,1,,Yes,Plastic,"Hard Plastic","On sand",0.29,0.29,Buoy,No
Standing-Stock,"Gulf of the Farallones National Marine Sanctuary",03-18-2016,"Year 4","United States",CA,Marin,4377,15,1,"Drakes Beach, Point Reyes National Seashore",38.03165,-122.94725,38.03083,-122.94821,,75,100,"03:30 PM","04:30 PM","03:00 PM",Spring,winter,02-14-2016,"3 days storm 3/10 - 3/12","sunny - light breeze",2,yes,no,1.0,1,,Yes,"Processed Lumber","Lumber/building material","On sand",0.09,0.58,"Lumber (from boat?)",No
Standing-Stock,"Gulf of the Farallones National Marine Sanctuary",03-18-2016,"Year 4","United States",CA,Marin,4377,15,1,"Drakes Beach, Point Reyes National Seashore",38.03165,-122.94725,38.03083,-122.94821,,75,100,"03:30 PM","04:30 PM","03:00 PM",Spring,winter,02-14-2016,"3 days storm 3/10 - 3/12","sunny - light breeze",2,yes,no,1.0,1,,Yes,Plastic,"Hard Plastic","On sand",0.30,0.30,Buoy,No
Standing-Stock,"Gulf of the Farallones National Marine Sanctuary",03-18-2016,"Year 4","United States",CA,Marin,4380,15,18,"Drakes Beach, Point Reyes National Seashore",38.03165,-122.94725,38.03083,-122.94821,,77,100,"03:30 PM","04:30 PM","03:00 PM",Spring,winter,02-14-2016,"3 days storm 3/10 - 3/12","sunny - light breeze",2,yes,,1.0,1,"Some debris in transect 18 suggests boat grounding",No,Plastic,"Hard Plastic","On sand",0.40,0.05,"Tub 0.4 diameter and 0.05 height (transect 16)",No
Standing-Stock,"Gulf of the Farallones National Marine Sanctuary",03-18-2016,"Year 4","United States",CA,Marin,4380,15,18,"Drakes Beach, Point Reyes National Seashore",38.03165,-122.94725,38.03083,-122.94821,,77,100,"03:30 PM","04:30 PM","03:00 PM",Spring,winter,02-14-2016,"3 days storm 3/10 - 3/12","sunny - light breeze",2,yes,,1.0,1,"Some debris in transect 18 suggests boat grounding",No,Plastic,"Hard Plastic","On sand",0.09,0.46,"Boat fragment (?) - transect 16",No
Standing-Stock,"Gulf of the Farallones National Marine Sanctuary",03-18-2016,"Year 4","United States",CA,Marin,4380,15,18,"Drakes Beach, Point Reyes National Seashore",38.03165,-122.94725,38.03083,-122.94821,,77,100,"03:30 PM","04:30 PM","03:00 PM",Spring,winter,02-14-2016,"3 days storm 3/10 - 3/12","sunny - light breeze",2,yes,,1.0,1,"Some debris in transect 18 suggests boat grounding",No,"Processed Lumber",Other,"on sand",0.05,0.46,"Oar handle - transect 16",No
Standing-Stock,"Gulf of the Farallones National Marine Sanctuary",03-18-2016,"Year 4","United States",CA,Marin,4380,15,18,"Drakes Beach, Point Reyes National Seashore",38.03165,-122.94725,38.03083,-122.94821,,77,100,"03:30 PM","04:30 PM","03:00 PM",Spring,winter,02-14-2016,"3 days storm 3/10 - 3/12","sunny - light breeze",2,yes,,1.0,1,"Some debris in transect 18 suggests boat grounding",No,Metal,Other,"on sand",0.30,0.30,"Large Buoy outside survey plot",No
Standing-Stock,"Gulf of the Farallones National Marine Sanctuary",03-18-2016,"Year 4","United States",CA,Marin,4380,15,18,"Drakes Beach, Point Reyes National Seashore",38.03165,-122.94725,38.03083,-122.94821,,77,100,"03:30 PM","04:30 PM","03:00 PM",Spring,winter,02-14-2016,"3 days storm 3/10 - 3/12","sunny - light breeze",2,yes,,1.0,1,"Some debris in transect 18 suggests boat grounding",No,Metal,Other,"On sand",0.30,0.40,"Large Buoy outside survey plot",No
Standing-Stock,"Gulf of the Farallones National Marine Sanctuary",03-18-2016,"Year 4","United States",CA,Marin,4380,15,18,"Drakes Beach, Point Reyes National Seashore",38.03165,-122.94725,38.03083,-122.94821,,77,100,"03:30 PM","04:30 PM","03:00 PM",Spring,winter,02-14-2016,"3 days storm 3/10 - 3/12","sunny - light breeze",2,yes,,1.0,1,"Some debris in transect 18 suggests boat grounding",No,Plastic,"Plastic rope/net","on sand",0.5,2,"Large entanglement of ropes (has been on the beach for several months but was recently unearthed by the storm)",No
Standing-Stock,"BC Ministry of Environment",12-18-2012,"Year 1",Canada,BC,"Haida Gwaii",4387,47,8,"Cape Fife / East Beach - Naikoon Provincial Park",54.08265,-131.67422,54.08188,-131.67432,,180,100,"11:00 AM","12:00 PM",N/A,Winter,WINTER,09-08-2012,N/A,N/A,1,yes,no,1.0,1,,No,Other/Unclassifiable,Other,?,.5,1,FOAM,Yes
Standing-Stock,"BC Ministry of Environment",02-07-2013,"Year 1",Canada,BC,"Haida Gwaii",4392,47,18,"Cape Fife / East Beach - Naikoon Provincial Park",54.08265,-131.67422,54.08188,-131.67432,,150,100,"12:30 PM","01:00 PM",N/A,Winter,N/A,01-05-2013,N/A,N/A,1,yes,yes,1.0,1,,No,Plastic,"Hard Plastic",?,.5,.4,"FOAM BLOCK",Yes
Standing-Stock,"BC Ministry of Environment",02-07-2013,"Year 1",Canada,BC,"Haida Gwaii",4395,51,11,"North Beach Naikoon Park",54.156076,-131.6682,54.15719,-131.66862,,72,100,"11:00 AM","12:00 PM",N/A,Winter,N/A,01-05-2013,N/A,N/A,1,yes,yes,1.0,1,,No,Metal,Other,?,1,1,"CRAB TRAP",Yes
Standing-Stock,"BC Ministry of Environment",05-28-2013,"Year 2",Canada,BC,"Haida Gwaii",4415,51,11,"North Beach Naikoon Park",54.156076,-131.6682,54.15719,-131.66862,,50,100,"03:00 PM","04:00 PM",N/A,Spring,N/A,03-17-2013,N/A,N/A,1,yes,yes,1.0,1,,No,Metal,Other,?,1,1,"CRAB TRAP",Yes
Standing-Stock,"BC Ministry of Environment",06-22-2013,"Year 2",Canada,BC,"Haida Gwaii",4427,47,7,"Cape Fife / East Beach - Naikoon Provincial Park",54.08265,-131.67422,54.08188,-131.67432,,70,100,"02:30 PM","03:30 PM",N/A,Summer,N/A,05-28-2013,N/A,N/A,1,yes,yes,1.0,1,,No,"Processed Lumber","Lumber/building material",?,.3,.3,,Yes
Standing-Stock,"BC Ministry of Environment",06-22-2013,"Year 2",Canada,BC,"Haida Gwaii",4428,47,12,"Cape Fife / East Beach - Naikoon Provincial Park",54.08265,-131.67422,54.08188,-131.67432,,70,100,"02:30 PM","03:30 PM",N/A,Summer,N/A,05-28-2013,N/A,N/A,1,yes,yes,1.0,1,,No,"Processed Lumber","Lumber/building material",?,.1,3,,Yes
Standing-Stock,"BC Ministry of Environment",06-22-2013,"Year 2",Canada,BC,"Haida Gwaii",4429,47,16,"Cape Fife / East Beach - Naikoon Provincial Park",54.08265,-131.67422,54.08188,-131.67432,,70,100,"02:30 PM","03:30 PM",N/A,Summer,N/A,05-28-2013,N/A,N/A,1,yes,yes,1.0,1,,No,Plastic,"Foam Plastic",?,.4,.4,,Yes
Standing-Stock,"BC Ministry of Environment",06-22-2013,"Year 2",Canada,BC,"Haida Gwaii",4429,47,16,"Cape Fife / East Beach - Naikoon Provincial Park",54.08265,-131.67422,54.08188,-131.67432,,70,100,"02:30 PM","03:30 PM",N/A,Summer,N/A,05-28-2013,N/A,N/A,1,yes,yes,1.0,1,,No,Cloth/Fabric,"Rope/net pieces",?,7,.01,,Yes
Standing-Stock,"BC Ministry of Environment",07-27-2013,"Year 2",Canada,BC,"Haida Gwaii",4432,51,9,"North Beach Naikoon Park",54.156076,-131.6682,54.15719,-131.66862,,50,100,"03:00 PM","04:00 PM",N/A,Summer,N/A,06-22-2013,N/A,N/A,1,yes,yes,1.0,1,,No,Metal,Other,?,1,1,"CRAB TRAP",Yes
Standing-Stock,"BC Ministry of Environment",07-27-2013,"Year 2",Canada,BC,"Haida Gwaii",4434,47,5,"Cape Fife / East Beach - Naikoon Provincial Park",54.08265,-131.67422,54.08188,-131.67432,,60,100,"04:00 PM","05:00 PM",N/A,Summer,N/A,06-22-2013,N/A,"sunny, NW 10",1,yes,yes,1.0,1,,No,Plastic,"Plastic rope/net",?,1,1,"SIZE UNKNOWN",Yes
Standing-Stock,"BC Ministry of Environment",07-27-2013,"Year 2",Canada,BC,"Haida Gwaii",4436,47,15,"Cape Fife / East Beach - Naikoon Provincial Park",54.08265,-131.67422,54.08188,-131.67432,,60,100,"04:00 PM","05:00 PM",N/A,Summer,N/A,06-22-2013,N/A,N/A,1,yes,yes,1.0,1,,No,Plastic,"Plastic rope/net",?,1,1,"EXACT SIZE/AREA UNKNOWN",Yes
Standing-Stock,"BC Ministry of Environment",08-28-2013,"Year 2",Canada,BC,"Haida Gwaii",4440,51,8,"North Beach Naikoon Park",54.156076,-131.6682,54.15719,-131.66862,,75,100,"07:00 AM","08:00 AM",N/A,Summer,N/A,07-27-2013,N/A,N/A,1,yes,yes,1.0,1,,No,Metal,Other,?,1,1,"CRAB TRAP",Yes
Standing-Stock,"BC Ministry of Environment",08-28-2013,"Year 2",Canada,BC,"Haida Gwaii",4444,47,13,"Cape Fife / East Beach - Naikoon Provincial Park",54.08265,-131.67422,54.08188,-131.67432,,130,100,"08:00 AM","09:00 AM",N/A,Summer,N/A,07-27-2013,N/A,N/A,1,yes,yes,1.0,1,,No,Plastic,"Hard Plastic",?,.3,.5,BUCKET,Yes
Standing-Stock,"BC Ministry of Environment",08-28-2013,"Year 2",Canada,BC,"Haida Gwaii",4445,47,18,"Cape Fife / East Beach - Naikoon Provincial Park",54.08265,-131.67422,54.08188,-131.67432,,130,100,"08:00 AM","09:00 AM",N/A,Summer,N/A,07-27-2013,N/A,N/A,1,yes,yes,1.0,2,,No,Plastic,"Foam Plastic",?,.5,1,"FOAM FLOAT",Yes
Standing-Stock,"BC Ministry of Environment",08-28-2013,"Year 2",Canada,BC,"Haida Gwaii",4445,47,18,"Cape Fife / East Beach - Naikoon Provincial Park",54.08265,-131.67422,54.08188,-131.67432,,130,100,"08:00 AM","09:00 AM",N/A,Summer,N/A,07-27-2013,N/A,N/A,1,yes,yes,1.0,1,,No,"Processed Lumber","Lumber/building material",?,.1,.35,,Yes
